"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Emmen";"Opgesteld vermogen van zonnepanelen";"kWp";"285390"
"Emmen";"Opgesteld vermogen omvormers";"kW";"252155"
"Emmen";"Productie van zonnestroom";"mln kWh";"."
"Enkhuizen";"Installaties";"aantal";"2841"
"Enkhuizen";"Opgesteld vermogen van zonnepanelen";"kWp";"16869"
"Enkhuizen";"Opgesteld vermogen omvormers";"kW";"15304"
"Enkhuizen";"Productie van zonnestroom";"mln kWh";"."
"Enschede";"Installaties";"aantal";"21433"
"Enschede";"Opgesteld vermogen van zonnepanelen";"kWp";"172541"
"Enschede";"Opgesteld vermogen omvormers";"kW";"158529"
"Enschede";"Productie van zonnestroom";"mln kWh";"."
"Epe";"Installaties";"aantal";"6266"
"Epe";"Opgesteld vermogen van zonnepanelen";"kWp";"46388"
"Epe";"Opgesteld vermogen omvormers";"kW";"41361"
"Epe";"Productie van zonnestroom";"mln kWh";"."
"Ermelo";"Installaties";"aantal";"5294"
"Ermelo";"Opgesteld vermogen van zonnepanelen";"kWp";"42184"
"Ermelo";"Opgesteld vermogen omvormers";"kW";"36744"
"Ermelo";"Productie van zonnestroom";"mln kWh";"."
"Etten-Leur";"Installaties";"aantal";"7741"
"Etten-Leur";"Opgesteld vermogen van zonnepanelen";"kWp";"76552"
"Etten-Leur";"Opgesteld vermogen omvormers";"kW";"64096"
"Etten-Leur";"Productie van zonnestroom";"mln kWh";"."
"De Fryske Marren";"Installaties";"aantal";"13687"
"De Fryske Marren";"Opgesteld vermogen van zonnepanelen";"kWp";"119650"
"De Fryske Marren";"Opgesteld vermogen omvormers";"kW";"105540"
"De Fryske Marren";"Productie van zonnestroom";"mln kWh";"."
"Geertruidenberg";"Installaties";"aantal";"3998"
"Geertruidenberg";"Opgesteld vermogen van zonnepanelen";"kWp";"40103"
"Geertruidenberg";"Opgesteld vermogen omvormers";"kW";"34567"
"Geertruidenberg";"Productie van zonnestroom";"mln kWh";"."
"Geldrop-Mierlo";"Installaties";"aantal";"8069"
"Geldrop-Mierlo";"Opgesteld vermogen van zonnepanelen";"kWp";"40501"
"Geldrop-Mierlo";"Opgesteld vermogen omvormers";"kW";"37484"
"Geldrop-Mierlo";"Productie van zonnestroom";"mln kWh";"."
"Gemert-Bakel";"Installaties";"aantal";"6998"
"Gemert-Bakel";"Opgesteld vermogen van zonnepanelen";"kWp";"75387"
"Gemert-Bakel";"Opgesteld vermogen omvormers";"kW";"66407"
"Gemert-Bakel";"Productie van zonnestroom";"mln kWh";"."
"Gennep";"Installaties";"aantal";"3905"
"Gennep";"Opgesteld vermogen van zonnepanelen";"kWp";"46949"
"Gennep";"Opgesteld vermogen omvormers";"kW";"39494"
"Gennep";"Productie van zonnestroom";"mln kWh";"."
"Gilze en Rijen";"Installaties";"aantal";"4680"
"Gilze en Rijen";"Opgesteld vermogen van zonnepanelen";"kWp";"39439"
"Gilze en Rijen";"Opgesteld vermogen omvormers";"kW";"34973"
"Gilze en Rijen";"Productie van zonnestroom";"mln kWh";"."
"Goeree-Overflakkee";"Installaties";"aantal";"13113"
"Goeree-Overflakkee";"Opgesteld vermogen van zonnepanelen";"kWp";"185997"
"Goeree-Overflakkee";"Opgesteld vermogen omvormers";"kW";"161035"
"Goeree-Overflakkee";"Productie van zonnestroom";"mln kWh";"."
"Goes";"Installaties";"aantal";"10119"
"Goes";"Opgesteld vermogen van zonnepanelen";"kWp";"59234"
"Goes";"Opgesteld vermogen omvormers";"kW";"53418"
"Goes";"Productie van zonnestroom";"mln kWh";"."
"Goirle";"Installaties";"aantal";"4327"
"Goirle";"Opgesteld vermogen van zonnepanelen";"kWp";"31170"
"Goirle";"Opgesteld vermogen omvormers";"kW";"27920"
"Goirle";"Productie van zonnestroom";"mln kWh";"."
"Gooise Meren";"Installaties";"aantal";"7089"
"Gooise Meren";"Opgesteld vermogen van zonnepanelen";"kWp";"34847"
"Gooise Meren";"Opgesteld vermogen omvormers";"kW";"31516"
"Gooise Meren";"Productie van zonnestroom";"mln kWh";"."
"Gorinchem";"Installaties";"aantal";"6342"
"Gorinchem";"Opgesteld vermogen van zonnepanelen";"kWp";"39075"
"Gorinchem";"Opgesteld vermogen omvormers";"kW";"35037"
"Gorinchem";"Productie van zonnestroom";"mln kWh";"."
"Gouda";"Installaties";"aantal";"10277"
"Gouda";"Opgesteld vermogen van zonnepanelen";"kWp";"44514"
"Gouda";"Opgesteld vermogen omvormers";"kW";"40468"
"Gouda";"Productie van zonnestroom";"mln kWh";"."
"Grave";"Installaties";"aantal";""
"Grave";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Grave";"Opgesteld vermogen omvormers";"kW";""
"Grave";"Productie van zonnestroom";"mln kWh";""
"'s-Gravenhage (gemeente)";"Installaties";"aantal";"34354"
"'s-Gravenhage (gemeente)";"Opgesteld vermogen van zonnepanelen";"kWp";"153179"
"'s-Gravenhage (gemeente)";"Opgesteld vermogen omvormers";"kW";"138406"
"'s-Gravenhage (gemeente)";"Productie van zonnestroom";"mln kWh";"."
"Groningen (gemeente)";"Installaties";"aantal";"38157"
"Groningen (gemeente)";"Opgesteld vermogen van zonnepanelen";"kWp";"357881"
"Groningen (gemeente)";"Opgesteld vermogen omvormers";"kW";"320898"
"Groningen (gemeente)";"Productie van zonnestroom";"mln kWh";"."
"Gulpen-Wittem";"Installaties";"aantal";"2976"
"Gulpen-Wittem";"Opgesteld vermogen van zonnepanelen";"kWp";"17965"
"Gulpen-Wittem";"Opgesteld vermogen omvormers";"kW";"16586"
"Gulpen-Wittem";"Productie van zonnestroom";"mln kWh";"."
"Haaksbergen";"Installaties";"aantal";"5367"
"Haaksbergen";"Opgesteld vermogen van zonnepanelen";"kWp";"49130"
"Haaksbergen";"Opgesteld vermogen omvormers";"kW";"41608"
"Haaksbergen";"Productie van zonnestroom";"mln kWh";"."
"Haaren";"Installaties";"aantal";""
"Haaren";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Haaren";"Opgesteld vermogen omvormers";"kW";""
"Haaren";"Productie van zonnestroom";"mln kWh";""
"Haarlem";"Installaties";"aantal";"16536"
"Haarlem";"Opgesteld vermogen van zonnepanelen";"kWp";"67960"
"Haarlem";"Opgesteld vermogen omvormers";"kW";"62881"
"Haarlem";"Productie van zonnestroom";"mln kWh";"."
"Haarlemmermeer";"Installaties";"aantal";"27298"
"Haarlemmermeer";"Opgesteld vermogen van zonnepanelen";"kWp";"227781"
"Haarlemmermeer";"Opgesteld vermogen omvormers";"kW";"197726"
"Haarlemmermeer";"Productie van zonnestroom";"mln kWh";"."
"Halderberge";"Installaties";"aantal";"6159"
"Halderberge";"Opgesteld vermogen van zonnepanelen";"kWp";"67330"
"Halderberge";"Opgesteld vermogen omvormers";"kW";"55833"
"Halderberge";"Productie van zonnestroom";"mln kWh";"."
"Hardenberg";"Installaties";"aantal";"13889"
"Hardenberg";"Opgesteld vermogen van zonnepanelen";"kWp";"184650"
"Hardenberg";"Opgesteld vermogen omvormers";"kW";"158258"
"Hardenberg";"Productie van zonnestroom";"mln kWh";"."
"Harderwijk";"Installaties";"aantal";"8426"
"Harderwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"52858"
"Harderwijk";"Opgesteld vermogen omvormers";"kW";"48654"
"Harderwijk";"Productie van zonnestroom";"mln kWh";"."
"Hardinxveld-Giessendam";"Installaties";"aantal";"4025"
"Hardinxveld-Giessendam";"Opgesteld vermogen van zonnepanelen";"kWp";"22711"
"Hardinxveld-Giessendam";"Opgesteld vermogen omvormers";"kW";"19799"
"Hardinxveld-Giessendam";"Productie van zonnestroom";"mln kWh";"."
"Harlingen";"Installaties";"aantal";"4570"
"Harlingen";"Opgesteld vermogen van zonnepanelen";"kWp";"26962"
"Harlingen";"Opgesteld vermogen omvormers";"kW";"24592"
"Harlingen";"Productie van zonnestroom";"mln kWh";"."
"Hattem";"Installaties";"aantal";"2595"
"Hattem";"Opgesteld vermogen van zonnepanelen";"kWp";"13039"
"Hattem";"Opgesteld vermogen omvormers";"kW";"11869"
"Hattem";"Productie van zonnestroom";"mln kWh";"."
"Heemskerk";"Installaties";"aantal";"7165"
"Heemskerk";"Opgesteld vermogen van zonnepanelen";"kWp";"30691"
"Heemskerk";"Opgesteld vermogen omvormers";"kW";"28504"
"Heemskerk";"Productie van zonnestroom";"mln kWh";"."
"Heemstede";"Installaties";"aantal";"4146"
"Heemstede";"Opgesteld vermogen van zonnepanelen";"kWp";"17220"
"Heemstede";"Opgesteld vermogen omvormers";"kW";"15797"
"Heemstede";"Productie van zonnestroom";"mln kWh";"."
"Heerde";"Installaties";"aantal";"3955"
"Heerde";"Opgesteld vermogen van zonnepanelen";"kWp";"23607"
"Heerde";"Opgesteld vermogen omvormers";"kW";"21396"
"Heerde";"Productie van zonnestroom";"mln kWh";"."
"Heerenveen";"Installaties";"aantal";"10607"
"Heerenveen";"Opgesteld vermogen van zonnepanelen";"kWp";"134372"
"Heerenveen";"Opgesteld vermogen omvormers";"kW";"114933"
"Heerenveen";"Productie van zonnestroom";"mln kWh";"."
"Heerhugowaard";"Installaties";"aantal";""
"Heerhugowaard";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Heerhugowaard";"Opgesteld vermogen omvormers";"kW";""
"Heerhugowaard";"Productie van zonnestroom";"mln kWh";""
"Heerlen";"Installaties";"aantal";"12287"
"Heerlen";"Opgesteld vermogen van zonnepanelen";"kWp";"78729"
"Heerlen";"Opgesteld vermogen omvormers";"kW";"70236"
"Heerlen";"Productie van zonnestroom";"mln kWh";"."
"Heeze-Leende";"Installaties";"aantal";"4109"
"Heeze-Leende";"Opgesteld vermogen van zonnepanelen";"kWp";"34620"
"Heeze-Leende";"Opgesteld vermogen omvormers";"kW";"30687"
"Heeze-Leende";"Productie van zonnestroom";"mln kWh";"."
"Heiloo";"Installaties";"aantal";"6291"
"Heiloo";"Opgesteld vermogen van zonnepanelen";"kWp";"25126"
"Heiloo";"Opgesteld vermogen omvormers";"kW";"23508"
"Heiloo";"Productie van zonnestroom";"mln kWh";"."
"Den Helder";"Installaties";"aantal";"12205"
"Den Helder";"Opgesteld vermogen van zonnepanelen";"kWp";"85277"
"Den Helder";"Opgesteld vermogen omvormers";"kW";"72364"
"Den Helder";"Productie van zonnestroom";"mln kWh";"."
"Hellendoorn";"Installaties";"aantal";"7808"
"Hellendoorn";"Opgesteld vermogen van zonnepanelen";"kWp";"56753"
"Hellendoorn";"Opgesteld vermogen omvormers";"kW";"51930"
"Hellendoorn";"Productie van zonnestroom";"mln kWh";"."
"Hellevoetsluis";"Installaties";"aantal";""
"Hellevoetsluis";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Hellevoetsluis";"Opgesteld vermogen omvormers";"kW";""
"Hellevoetsluis";"Productie van zonnestroom";"mln kWh";""
"Helmond";"Installaties";"aantal";"16813"
"Helmond";"Opgesteld vermogen van zonnepanelen";"kWp";"91190"
"Helmond";"Opgesteld vermogen omvormers";"kW";"81849"
"Helmond";"Productie van zonnestroom";"mln kWh";"."
"Hendrik-Ido-Ambacht";"Installaties";"aantal";"5890"
"Hendrik-Ido-Ambacht";"Opgesteld vermogen van zonnepanelen";"kWp";"25262"
"Hendrik-Ido-Ambacht";"Opgesteld vermogen omvormers";"kW";"22794"
"Hendrik-Ido-Ambacht";"Productie van zonnestroom";"mln kWh";"."
"Hengelo (O.)";"Installaties";"aantal";"14115"
"Hengelo (O.)";"Opgesteld vermogen van zonnepanelen";"kWp";"97475"
"Hengelo (O.)";"Opgesteld vermogen omvormers";"kW";"88771"
"Hengelo (O.)";"Productie van zonnestroom";"mln kWh";"."
"'s-Hertogenbosch";"Installaties";"aantal";"27306"
"'s-Hertogenbosch";"Opgesteld vermogen van zonnepanelen";"kWp";"180301"
"'s-Hertogenbosch";"Opgesteld vermogen omvormers";"kW";"160064"
"'s-Hertogenbosch";"Productie van zonnestroom";"mln kWh";"."
"Heumen";"Installaties";"aantal";"4074"
"Heumen";"Opgesteld vermogen van zonnepanelen";"kWp";"22262"
"Heumen";"Opgesteld vermogen omvormers";"kW";"20653"
"Heumen";"Productie van zonnestroom";"mln kWh";"."
"Heusden";"Installaties";"aantal";"8673"
"Heusden";"Opgesteld vermogen van zonnepanelen";"kWp";"76949"
"Heusden";"Opgesteld vermogen omvormers";"kW";"65979"
"Heusden";"Productie van zonnestroom";"mln kWh";"."
"Hillegom";"Installaties";"aantal";"3914"
"Hillegom";"Opgesteld vermogen van zonnepanelen";"kWp";"25042"
"Hillegom";"Opgesteld vermogen omvormers";"kW";"22934"
"Hillegom";"Productie van zonnestroom";"mln kWh";"."
"Hilvarenbeek";"Installaties";"aantal";"3243"
"Hilvarenbeek";"Opgesteld vermogen van zonnepanelen";"kWp";"83432"
"Hilvarenbeek";"Opgesteld vermogen omvormers";"kW";"61588"
"Hilvarenbeek";"Productie van zonnestroom";"mln kWh";"."
"Hilversum";"Installaties";"aantal";"10427"
"Hilversum";"Opgesteld vermogen van zonnepanelen";"kWp";"45534"
"Hilversum";"Opgesteld vermogen omvormers";"kW";"41961"
"Hilversum";"Productie van zonnestroom";"mln kWh";"."
"Hoeksche Waard";"Installaties";"aantal";"19591"
"Hoeksche Waard";"Opgesteld vermogen van zonnepanelen";"kWp";"145896"
"Hoeksche Waard";"Opgesteld vermogen omvormers";"kW";"125710"
"Hoeksche Waard";"Productie van zonnestroom";"mln kWh";"."
"Hof van Twente";"Installaties";"aantal";"7974"
"Hof van Twente";"Opgesteld vermogen van zonnepanelen";"kWp";"109937"
"Hof van Twente";"Opgesteld vermogen omvormers";"kW";"92806"
"Hof van Twente";"Productie van zonnestroom";"mln kWh";"."
"Het Hogeland";"Installaties";"aantal";"13133"
"Het Hogeland";"Opgesteld vermogen van zonnepanelen";"kWp";"142880"
"Het Hogeland";"Opgesteld vermogen omvormers";"kW";"121555"
"Het Hogeland";"Productie van zonnestroom";"mln kWh";"."
"Hollands Kroon";"Installaties";"aantal";"11434"
"Hollands Kroon";"Opgesteld vermogen van zonnepanelen";"kWp";"192351"
"Hollands Kroon";"Opgesteld vermogen omvormers";"kW";"176577"
"Hollands Kroon";"Productie van zonnestroom";"mln kWh";"."
"Hoogeveen";"Installaties";"aantal";"12235"
"Hoogeveen";"Opgesteld vermogen van zonnepanelen";"kWp";"256888"
"Hoogeveen";"Opgesteld vermogen omvormers";"kW";"224611"
"Hoogeveen";"Productie van zonnestroom";"mln kWh";"."
"Hoorn";"Installaties";"aantal";"12996"
"Hoorn";"Opgesteld vermogen van zonnepanelen";"kWp";"60683"
"Hoorn";"Opgesteld vermogen omvormers";"kW";"55733"
"Hoorn";"Productie van zonnestroom";"mln kWh";"."
"Horst aan de Maas";"Installaties";"aantal";"11386"
"Horst aan de Maas";"Opgesteld vermogen van zonnepanelen";"kWp";"156266"
"Horst aan de Maas";"Opgesteld vermogen omvormers";"kW";"131184"
"Horst aan de Maas";"Productie van zonnestroom";"mln kWh";"."
"Houten";"Installaties";"aantal";"10412"
"Houten";"Opgesteld vermogen van zonnepanelen";"kWp";"106418"
"Houten";"Opgesteld vermogen omvormers";"kW";"87501"
"Houten";"Productie van zonnestroom";"mln kWh";"."
"Huizen";"Installaties";"aantal";"7634"
"Huizen";"Opgesteld vermogen van zonnepanelen";"kWp";"30035"
"Huizen";"Opgesteld vermogen omvormers";"kW";"28062"
"Huizen";"Productie van zonnestroom";"mln kWh";"."
"Hulst";"Installaties";"aantal";"8168"
"Hulst";"Opgesteld vermogen van zonnepanelen";"kWp";"45312"
"Hulst";"Opgesteld vermogen omvormers";"kW";"40817"
"Hulst";"Productie van zonnestroom";"mln kWh";"."
"IJsselstein";"Installaties";"aantal";"5677"
"IJsselstein";"Opgesteld vermogen van zonnepanelen";"kWp";"27367"
"IJsselstein";"Opgesteld vermogen omvormers";"kW";"24648"
"IJsselstein";"Productie van zonnestroom";"mln kWh";"."
"Kaag en Braassem";"Installaties";"aantal";"6738"
"Kaag en Braassem";"Opgesteld vermogen van zonnepanelen";"kWp";"37237"
"Kaag en Braassem";"Opgesteld vermogen omvormers";"kW";"34333"
"Kaag en Braassem";"Productie van zonnestroom";"mln kWh";"."
"Kampen";"Installaties";"aantal";"10346"
"Kampen";"Opgesteld vermogen van zonnepanelen";"kWp";"89829"
"Kampen";"Opgesteld vermogen omvormers";"kW";"81633"
"Kampen";"Productie van zonnestroom";"mln kWh";"."
"Kapelle";"Installaties";"aantal";"3705"
"Kapelle";"Opgesteld vermogen van zonnepanelen";"kWp";"23844"
"Kapelle";"Opgesteld vermogen omvormers";"kW";"21467"
"Kapelle";"Productie van zonnestroom";"mln kWh";"."
"Katwijk";"Installaties";"aantal";"9259"
"Katwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"48013"
"Katwijk";"Opgesteld vermogen omvormers";"kW";"43630"
"Katwijk";"Productie van zonnestroom";"mln kWh";"."
"Kerkrade";"Installaties";"aantal";"9077"
"Kerkrade";"Opgesteld vermogen van zonnepanelen";"kWp";"62893"
"Kerkrade";"Opgesteld vermogen omvormers";"kW";"53548"
"Kerkrade";"Productie van zonnestroom";"mln kWh";"."
"Koggenland";"Installaties";"aantal";"5230"
"Koggenland";"Opgesteld vermogen van zonnepanelen";"kWp";"41527"
"Koggenland";"Opgesteld vermogen omvormers";"kW";"36984"
"Koggenland";"Productie van zonnestroom";"mln kWh";"."
"Krimpen aan den IJssel";"Installaties";"aantal";"4689"
"Krimpen aan den IJssel";"Opgesteld vermogen van zonnepanelen";"kWp";"21681"
"Krimpen aan den IJssel";"Opgesteld vermogen omvormers";"kW";"19611"
"Krimpen aan den IJssel";"Productie van zonnestroom";"mln kWh";"."
"Krimpenerwaard";"Installaties";"aantal";"11557"
"Krimpenerwaard";"Opgesteld vermogen van zonnepanelen";"kWp";"70365"
"Krimpenerwaard";"Opgesteld vermogen omvormers";"kW";"61279"
"Krimpenerwaard";"Productie van zonnestroom";"mln kWh";"."
"Laarbeek";"Installaties";"aantal";"5155"
"Laarbeek";"Opgesteld vermogen van zonnepanelen";"kWp";"66950"
"Laarbeek";"Opgesteld vermogen omvormers";"kW";"56411"
"Laarbeek";"Productie van zonnestroom";"mln kWh";"."
"Land van Cuijk";"Installaties";"aantal";"20431"
"Land van Cuijk";"Opgesteld vermogen van zonnepanelen";"kWp";"212290"
"Land van Cuijk";"Opgesteld vermogen omvormers";"kW";"186006"
"Land van Cuijk";"Productie van zonnestroom";"mln kWh";"."
"Landerd";"Installaties";"aantal";""
"Landerd";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Landerd";"Opgesteld vermogen omvormers";"kW";""
"Landerd";"Productie van zonnestroom";"mln kWh";""
"Landgraaf";"Installaties";"aantal";"7754"
"Landgraaf";"Opgesteld vermogen van zonnepanelen";"kWp";"51218"
"Landgraaf";"Opgesteld vermogen omvormers";"kW";"46566"
"Landgraaf";"Productie van zonnestroom";"mln kWh";"."
"Landsmeer";"Installaties";"aantal";"1830"
"Landsmeer";"Opgesteld vermogen van zonnepanelen";"kWp";"9327"
"Landsmeer";"Opgesteld vermogen omvormers";"kW";"8669"
"Landsmeer";"Productie van zonnestroom";"mln kWh";"."
"Langedijk";"Installaties";"aantal";""
"Langedijk";"Opgesteld vermogen van zonnepanelen";"kWp";""
"Langedijk";"Opgesteld vermogen omvormers";"kW";""
"Langedijk";"Productie van zonnestroom";"mln kWh";""
"Lansingerland";"Installaties";"aantal";"14457"
"Lansingerland";"Opgesteld vermogen van zonnepanelen";"kWp";"143713"
"Lansingerland";"Opgesteld vermogen omvormers";"kW";"119853"
"Lansingerland";"Productie van zonnestroom";"mln kWh";"."
"Laren (NH.)";"Installaties";"aantal";"1084"
"Laren (NH.)";"Opgesteld vermogen van zonnepanelen";"kWp";"6056"
"Laren (NH.)";"Opgesteld vermogen omvormers";"kW";"5432"
"Laren (NH.)";"Productie van zonnestroom";"mln kWh";"."
"Leeuwarden";"Installaties";"aantal";"23334"
"Leeuwarden";"Opgesteld vermogen van zonnepanelen";"kWp";"177770"
"Leeuwarden";"Opgesteld vermogen omvormers";"kW";"165696"
"Leeuwarden";"Productie van zonnestroom";"mln kWh";"."
"Leiden";"Installaties";"aantal";"11775"
"Leiden";"Opgesteld vermogen van zonnepanelen";"kWp";"49344"
"Leiden";"Opgesteld vermogen omvormers";"kW";"45551"
"Leiden";"Productie van zonnestroom";"mln kWh";"."
"Leiderdorp";"Installaties";"aantal";"3884"
"Leiderdorp";"Opgesteld vermogen van zonnepanelen";"kWp";"16236"
"Leiderdorp";"Opgesteld vermogen omvormers";"kW";"15109"
"Leiderdorp";"Productie van zonnestroom";"mln kWh";"."
"Leidschendam-Voorburg";"Installaties";"aantal";"7430"
"Leidschendam-Voorburg";"Opgesteld vermogen van zonnepanelen";"kWp";"30966"
"Leidschendam-Voorburg";"Opgesteld vermogen omvormers";"kW";"28179"
"Leidschendam-Voorburg";"Productie van zonnestroom";"mln kWh";"."
"Lelystad";"Installaties";"aantal";"16839"
"Lelystad";"Opgesteld vermogen van zonnepanelen";"kWp";"291893"
"Lelystad";"Opgesteld vermogen omvormers";"kW";"261534"
"Lelystad";"Productie van zonnestroom";"mln kWh";"."
"Leudal";"Installaties";"aantal";"8853"
"Leudal";"Opgesteld vermogen van zonnepanelen";"kWp";"84237"
"Leudal";"Opgesteld vermogen omvormers";"kW";"74917"
"Leudal";"Productie van zonnestroom";"mln kWh";"."
"Leusden";"Installaties";"aantal";"7253"
"Leusden";"Opgesteld vermogen van zonnepanelen";"kWp";"41352"
"Leusden";"Opgesteld vermogen omvormers";"kW";"36474"
"Leusden";"Productie van zonnestroom";"mln kWh";"."
"Lingewaard";"Installaties";"aantal";"11754"
"Lingewaard";"Opgesteld vermogen van zonnepanelen";"kWp";"83502"
"Lingewaard";"Opgesteld vermogen omvormers";"kW";"74093"
"Lingewaard";"Productie van zonnestroom";"mln kWh";"."
"Lisse";"Installaties";"aantal";"5077"
"Lisse";"Opgesteld vermogen van zonnepanelen";"kWp";"21978"
"Lisse";"Opgesteld vermogen omvormers";"kW";"20225"
"Lisse";"Productie van zonnestroom";"mln kWh";"."
"Lochem";"Installaties";"aantal";"7557"
"Lochem";"Opgesteld vermogen van zonnepanelen";"kWp";"113938"
"Lochem";"Opgesteld vermogen omvormers";"kW";"98944"
"Lochem";"Productie van zonnestroom";"mln kWh";"."
"Loon op Zand";"Installaties";"aantal";"4311"
"Loon op Zand";"Opgesteld vermogen van zonnepanelen";"kWp";"40889"
"Loon op Zand";"Opgesteld vermogen omvormers";"kW";"32185"
"Loon op Zand";"Productie van zonnestroom";"mln kWh";"."
